estimate,stderr,dof,t,p,min90,max90,x
-.09691694,.05777247,165,-1.6775628,.09532574,-.19248074,-.00135314,-5
-.07981478,.05386877,165,-1.4816522,.14034008,-.16892131,.00929176,-4
-.0636868,.05020699,165,-1.2684847,.20641164,-.14673623,.01936264,-3
-.048533,.04678315,165,-1.0374033,.30106583,-.12591892,.02885293,-2
-.03435337,.04359195,165,-.788067,.43178822,-.1064606,.03775385,-1
-.02114794,.04062649,165,-.52054553,.60338121,-.08834987,.046054,0
-.00891668,.03787803,165,-.23540494,.81418637,-.07157228,.05373893,1
.0023404,.0353358,165,.06623317,.94727238,-.05610999,.06079079,2
.0126233,.03298675,165,.38267791,.7024511,-.04194143,.06718803,3
.02193202,.03081553,165,.71171954,.47764351,-.02904122,.07290525,4
.03026655,.02880453,165,1.0507568,.29490678,-.01738019,.0779133,5
.03762691,.026934,165,1.3970041,.16428832,-.00692572,.08217954,6
.04401308,.02518246,165,1.7477676,.08236449,.00235775,.08566842,7
.04942508,.0235271,165,2.1007717,.03718093,.01050793,.08834222,8
.05386289,.02194445,165,2.4545111,.01514611,.01756368,.0901621,9
.05732652,.02041097,165,2.8086128,.00557644,.02356389,.09108915,10
.05981597,.0189039,165,3.1642128,.00185177,.02854625,.09108569,11
.06133124,.01740201,165,3.5243769,.00054945,.03254587,.09011662,12
.06187233,.01588658,165,3.8946283,.00014261,.03559369,.08815098,13
.06143924,.0143427,165,4.2836601,.00003114,.0377144,.08516409,14
.06003197,.01276125,165,4.7042377,5.360e-06,.03892306,.08114089,15
.05765052,.01114275,165,5.1738135,6.587e-07,.03921884,.0760822,16
.05429489,.00950531,165,5.7120598,5.086e-08,.03857177,.07001801,17
.04996508,.00790315,165,6.3221714,2.319e-09,.03689215,.063038,18
.04466108,.00647027,165,6.9025095,1.046e-10,.03395835,.05536382,19
.03838291,.00550251,165,6.9755241,7.015e-11,.02928098,.04748484,20
.03113055,.00545427,165,5.7075537,5.200e-08,.02210842,.04015269,21
.02290402,.00653181,165,3.5065354,.00058486,.01209948,.03370855,22
.0137033,.00847031,165,1.617804,.10761492,-.00030779,.02771438,23
.0035284,.01095685,165,.32202705,.74783983,-.01459577,.02165257,24
-.00762068,.0138195,165,-.55144385,.58207546,-.03048008,.01523872,25
-.01974394,.01697809,165,-1.1629066,.24654648,-.04782809,.00834022,26
-.03284138,.02039489,165,-1.610275,.10924928,-.06657739,.00089464,27
-.046913,.0240514,165,-1.9505305,.05280719,-.08669741,-.00712858,28
-.0619588,.02793836,165,-2.2176964,.02794145,-.10817278,-.01574481,29
-.07797878,.03205111,165,-2.4329508,.01604438,-.13099584,-.02496172,30
-.09497294,.03638748,165,-2.6100442,.00988599,-.15516297,-.03478291,31
-.11294129,.04094664,165,-2.7582555,.00646691,-.1806728,-.04520978,32
-.13188381,.04572848,165,-2.8840628,.00444979,-.20752516,-.05624246,33
-.15180051,.05073334,165,-2.9921253,.00319591,-.23572061,-.06788041,34
-.1726914,.05596177,165,-3.0858816,.00238065,-.26526006,-.08012274,35
